Food_ID,Name,Energy_kcal,Carbohydrates_g,Fat_g,Fiber_g,Protein_g,Sugar_g,Type,Group
0,"GROUND BEEF, UPC: 011110979711",259,0,20.54,0,16.96,0,m,Ingredient
1,"Turkey, Ground, raw",148,0,7.66,0,19.66,0,m,Ingredient
2,"Veggie burgers or soyburgers, unprepared",177,14.27,6.3,4.9,15.7,1.07,v,Ingredient
3,"Pork, fresh, ground, raw",263,0,21.19,0,16.88,1.07,m,Ingredient
4,"Chicken, ground, raw",143,0.04,8.1,0,17.44,0,m,Ingredient
5,"Mushrooms, portabella, raw",22,3.87,0.35,1.3,2.11,2.5,v,Ingredient
6,"Tofu, salted and fermented (fuyu)",116,4.38,8,1.3,8.92,2.5,v,Ingredient
7,"TRADITIONAL SEITAN, UPC: 016741311336",124,4.42,1.77,0,24.78,0,m,Ingredient
8,"VEGAN BURGERS, UPC: 028989102195",142,15.04,7.96,5.3,7.96,2.65,v,Ingredient
9,"VEGAN CHIK 'N CUTLETS, UPC: 833735001802",111,9.52,1.59,4.8,15.87,0,v,Ingredient
10,"BEEF CHILI, UPC: 074136000012",197,6.14,14.04,1.8,12.28,1.75,m,Chili
11,"ORGANIC VEGETARIAN CHILI, UPC: 099482421106",98,14.29,2.04,4.1,5.31,1.22,v,Chili
12,"CHICKEN CHILI WITH BEANS, UPC: 733147108888",119,9.25,4.85,2.2,10.13,0.88,m,Chili
13,"VEGETABLES FOR MEATLOAF, UPC: 070560968867",36,7.14,0,2.4,1.19,3.57,v,Meatloaf
14,Vegetarian meatloaf or patties,197,8,9,4.6,21,1.2,v,Meatloaf
15,"HOMESTYLE MEATLOAF, UPC: 722515250984",212,9.73,11.5,0,15.93,4.42,m,Meatloaf
16,"Frankfurter, meatless",233,7.7,13.73,3.9,19.61,0,v,hotdog
17,"BEEF HOT DOG, UPC: 073608053501",295,3.85,25.64,0,14.1,1.28,m,hotdog
18,"Frankfurter, turkey",223,3.81,17.29,0,12.23,1.21,m,hotdog
19,"CHICKEN HOT DOGS, UPC: 011110001641",233,11.63,16.28,0,11.63,6.98,m,hotdog
20,"WHOLE COW MILK, UPC: 837152002053",67,4.58,3.75,0,3.33,4.58,m,Milk
21,"ALMOND MILK, UPC: 744473909544",82,12.94,2.35,3.5,3.53,7.06,v,Milk
22,"Beverages, rice milk, unsweetened",47,9.17,0.97,0.3,0.28,5.28,v,Milk
23,"SOY MILK, UPC: 099482417055",33,1.67,1.67,0.4,2.92,0.42,v,Milk
24,"CHOCOLATE MILK, UPC: 041303048603",92,12.08,3.33,0,3.33,12.08,m,Milk
25,"TRADER JOE'S, ORGANIC CHOCOLATE SOY MILK, NON-DAIRY DRINK, 7 GRAMS SOY PROTEIN, EXCELLENT SOURCE OF CALCIUM, VITAMIN D, RIBOFLAVIN & VITAMIN A, CHOCOLATE, VANILLA, UPC: 00693752",54,7.08,1.25,0.4,2.92,5,v,Milk
26,"EGGLESS MAYO, UPC: 850551005753",571,0,71.43,0,0,0,v,Mayo
27,"MAYO, UPC: 011110007803",333,6.67,33.33,0,0,0,m,Mayo
28,"Pork, bacon, rendered fat, cooked",898,0,99.5,0,0.07,0,m,Bacon
29,"Bacon, meatless",309,5.31,29.52,2.6,11.69,0,v,Bacon
30,"FULLY COOKED BEEF BACON, UPC: 071014825606",333,0,30,2.6,13.33,0,m,Bacon
31,"Bacon, turkey, microwaved",368,4.24,25.87,0,29.5,4.24,m,Bacon
32,"VEGETABLE PIZZA, UPC: 663209132028",170,23.91,4.35,1.3,9.13,1.74,v,Pizza
33,"Pizza, meat topping, thick crust, frozen, cooked",274,30.76,11.52,2.3,11.76,3.88,m,Pizza
